onset	duration	nwb_table	error_run	stim_run	both_visit	condition	label
9.0	1003.0	states					awake
1012.0	1390.0	states					nrem
2402.0	227.0	states					awake
2629.0	1069.0	states					nrem
3698.0	24.0	states					transit
3722.0	101.0	states					rem
3823.0	1011.0	states					nrem
4834.0	17.0	states					transit
4851.0	18.0	states					rem
4869.0	299.0	states					nrem
5168.0	10.0	states					transit
5178.0	63.0	states					rem
5241.0	327.0	states					nrem
5568.0	20.0	states					transit
5588.0	14.0	states					rem
5602.0	141.0	states					nrem
5743.0	12.0	states					transit
5755.0	18.0	states					rem
5773.0	207.0	states					nrem
5980.0	21.0	states					transit
6001.0	91.0	states					rem
6092.0	761.0	states					nrem
6853.0	15.0	states					transit
6868.0	20.0	states					rem
6888.0	382.0	states					nrem
7270.0	29.0	states					transit
7299.0	62.0	states					rem
7361.0	356.0	states					nrem
7717.0	3043.0	states					awake
10760.0	132.0	states					quiet
10892.0	350.0	states					awake
11242.0	176.0	states					quiet
11418.0	8620.0	states					awake
11424.1024	2244.684800000001	epochs					
11433.5728	53.01600000000144	trials	0.0	0.0	0.0	run_right	
11486.588800000001	43.066399999997884	trials	0.0	0.0	0.0	run_left	
11529.6552	49.34239999999954	trials	0.0	0.0	0.0	run_right	
11578.997599999999	68.31200000000172	trials	0.0	0.0	0.0	run_left	
11647.3096	109.61039999999957	trials	0.0	0.0	0.0	run_right	
11756.92	71.27599999999984	trials	0.0	0.0	0.0	run_left	
11828.196	52.460000000000946	trials	0.0	0.0	0.0	run_right	
11880.656	70.28240000000005	trials	0.0	0.0	0.0	run_left	
11950.938400000001	57.908799999999246	trials	0.0	0.0	0.0	run_right	
12008.8472	63.909600000000864	trials	0.0	0.0	0.0	run_left	
12072.756800000001	50.12960000000021	trials	0.0	0.0	0.0	run_right	
12122.886400000001	45.236799999998766	trials	0.0	0.0	0.0	run_left	
12168.1232	53.537600000001476	trials	0.0	0.0	0.0	run_right	
12221.660800000001	47.3791999999994	trials	0.0	0.0	0.0	run_left	
12269.04	50.66719999999805	trials	0.0	0.0	0.0	run_right	
12319.707199999999	46.22160000000258	trials	0.0	0.0	0.0	run_left	
12365.928800000002	52.20959999999832	trials	0.0	0.0	0.0	run_right	
12418.1384	42.36000000000058	trials	0.0	0.0	0.0	run_left	
12460.4984	45.42239999999947	trials	0.0	0.0	0.0	run_right	
12505.9208	39.436799999999494	trials	0.0	0.0	0.0	run_left	
12545.3576	61.05760000000009	trials	0.0	0.0	0.0	run_right	
12606.4152	33.78960000000188	trials	0.0	0.0	0.0	run_left	
12640.204800000001	52.123999999999796	trials	0.0	0.0	0.0	run_right	
12692.328800000001	55.35439999999835	trials	1.0	0.0	0.0	run_right	
12747.6832	40.82799999999952	trials	0.0	0.0	0.0	run_left	
12788.511199999999	53.84320000000116	trials	0.0	0.0	0.0	run_right	
12842.3544	42.322400000000926	trials	0.0	0.0	0.0	run_left	
12884.676800000001	40.08559999999852	trials	0.0	0.0	0.0	run_right	
12924.7624	50.9336000000003	trials	0.0	0.0	0.0	run_left	
12975.696	44.29440000000068	trials	0.0	0.0	0.0	run_right	
13019.9904	46.175999999999476	trials	0.0	0.0	0.0	run_left	
13066.1664	61.29919999999947	trials	0.0	0.0	0.0	run_right	
13127.4656	42.67360000000008	trials	0.0	0.0	0.0	run_left	
13170.1392	45.693600000000515	trials	0.0	0.0	0.0	run_right	
13215.8328	45.039199999999255	trials	0.0	0.0	0.0	run_left	
13260.872	49.306400000001304	trials	0.0	0.0	0.0	run_right	
13310.1784	45.073599999999715	trials	0.0	0.0	0.0	run_left	
13355.252	42.26719999999841	trials	0.0	0.0	0.0	run_right	
13397.519199999999	45.72160000000258	trials	0.0	0.0	0.0	run_left	
13443.240800000001	65.6951999999983	trials	0.0	0.0	0.0	run_right	
13508.936	113.95520000000033	trials	1.0	0.0	0.0	run_right	
13622.8912	45.908799999999246	trials	1.0	0.0	0.0	run_right	
13669.9136	1246.5663999999997	epochs					
14917.632	1322.3680000000004	epochs					
16241.024	1212.5696000000007	epochs					
